player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-18
Cooper Kupp,WR,LA,2.5,2,2022-05-18
Christian McCaffrey,RB,CAR,3.2,3,2022-05-18
Justin Jefferson,WR,MIN,4.7,4,2022-05-18
Ja'Marr Chase,WR,CIN,5.4,5,2022-05-18
Derrick Henry,RB,TEN,6,6,2022-05-18
Austin Ekeler,RB,LAC,6.7,7,2022-05-18
Najee Harris,RB,PIT,8.1,8,2022-05-18
Stefon Diggs,WR,BUF,10.3,9,2022-05-18
Davante Adams,WR,LV,10.4,10,2022-05-18
Dalvin Cook,RB,MIN,10.8,11,2022-05-18
Joe Mixon,RB,CIN,11.8,12,2022-05-18
Travis Kelce,TE,KC,12.7,13,2022-05-18
CeeDee Lamb,WR,DAL,14.4,14,2022-05-18
Deebo Samuel,WR,SF,16.6,15,2022-05-18
Mark Andrews,TE,BAL,17,16,2022-05-18
D'Andre Swift,RB,DET,17.1,17,2022-05-18
Alvin Kamara,RB,NO,18.9,18,2022-05-18
Tyreek Hill,WR,MIA,20.3,19,2022-05-18
Mike Evans,WR,TB,20.7,20,2022-05-18
Nick Chubb,RB,CLE,21.6,21,2022-05-18
Javonte Williams,RB,DEN,22.8,22,2022-05-18
Leonard Fournette,RB,TB,24,23,2022-05-18
Aaron Jones,RB,GB,24.2,24,2022-05-18
A.J. Brown,WR,PHI,24.4,25,2022-05-18
Josh Allen,QB,BUF,25.2,26,2022-05-18
Tee Higgins,WR,CIN,25.8,27,2022-05-18
Saquon Barkley,RB,NYG,27.6,28,2022-05-18
Keenan Allen,WR,LAC,28.1,29,2022-05-18
James Conner,RB,ARI,30.2,30,2022-05-18
Kyle Pitts,TE,ATL,31.3,31,2022-05-18
Jaylen Waddle,WR,MIA,33.7,32,2022-05-18
Michael Pittman,WR,IND,35.9,33,2022-05-18
Diontae Johnson,WR,PIT,36,34,2022-05-18
Cam Akers,RB,LA,36.6,35,2022-05-18
DJ Moore,WR,CAR,37.5,36,2022-05-18
Patrick Mahomes,QB,KC,38.3,37,2022-05-18
Mike Williams,WR,LAC,39.1,38,2022-05-18
Darren Waller,TE,LV,40.4,39,2022-05-18
Marquise Brown,WR,ARI,41.4,40,2022-05-18
D.K. Metcalf,WR,SEA,42.1,41,2022-05-18
Amari Cooper,WR,CLE,43.5,42,2022-05-18
Ezekiel Elliott,RB,DAL,44.5,43,2022-05-18
George Kittle,TE,SF,44.9,44,2022-05-18
Lamar Jackson,QB,BAL,45.2,45,2022-05-18
